steering,acceleration,brake
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0457905,0
0,0,056691,0
0,0,0679323,0
0,0,0741453,0
0,0,0804717,0
0,0,0888957,0
0,0,0956331,0
0,0,1036506,0
0,0,1164291,0
0,0,1263009,0
0,0,1385187,0
0,0,1470318,0
0,0,1538706,0
0,0,160428,0
0,0,1688778,0
0,0,177549,0
0,0,1850061,0
0,0,193761,0
0,0,2007405,0
0,0,2076804,0
0,0,2154915,0
0,0,2262102,0
0,0,234345,0
0,0,243417,0
0,0,251142,0
0,0,2558865,0
0,0,2610102,0
0,0,2663778,0
0,0,2744124,0
0,0,280782,0
0,0,2882952,0
0,0,2971584,0
0,0,3045669,0
0,0,3125109,0
0,0,3563499,0
0,0,3643914,0
0,0,370542,0
0,0,3808491,0
0,0,3875913,0
0,0,3941748,0
0,0,4028389,0
0,0,4100367,0
0,0,4197105,0
0,0,4312572,0
0,0,4367679,0
0,0,4424892,0
0,0,4481454,0
0,0,4554538,0
0,0,4641427,0
0,0,4716597,0
0,0,4790269,0
0,0,4875964,0
0,0,4938556,0
0,0,5011272,0
0,0,5085433,0
0,0,5151166,0
0,0,5260216,0
0,0,5336863,0
0,0,5399689,0
0,0,5474389,0
0,0,552976,0
0,0,5602831,0
0,0,5681059,0
0,0,5751334,0
0,0,5830606,0
0,0,5915695,0
0,0,5976101,0
0,0,6066868,0
0,0,6144697,0
0,0,6257401,0
0,0,6337234,0
0,0,6430498,0
0,0,6498874,0
0,0,6550909,0
0,0,663019,0
0,0,6709102,0
0,0,6777994,0
0,0,6839866,0
0,0,6929095,0
0,0,6987184,0
0,0,7051645,0
0,0,714649,0
0,0,7255657,0
0,0,7342201,0
0,0,7447036,0
0,0,7529557,0
0,0,75916,0
0,0,7657231,0
0,0,8033563,0
0,0,8130508,0
0,0,8226019,0
0,0,8329672,0
0,0,8393089,0
0,0,846346,0
0,0,8565268,0
0,0,8655118,0
0,0,8721208,0
0,0,8801527,0
0,0,8885929,0
0,0,8951665,0
0,0,9074932,0
0,0,9138424,0
0,0,9283273,0
0,0,9366139,0
0,0,9427981,0
0,0,9502223,0
0,0,9564551,0
0,0,9746833,0
0,0,9875354,0
0,0,9942241,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
